Datetime,Temp. del Agua,Temp. del aire (2.5m)
2023-10-12 6:40:00,4.9,6.3
2023-10-12 6:50:00,4.9,6.4
2023-10-12 7:00:00,4.9,6.5
2023-10-12 7:10:00,4.9,6.5
2023-10-12 7:20:00,4.9,6.7
2023-10-12 7:30:00,4.9,6.7
2023-10-12 7:40:00,4.9,8.1
2023-10-12 7:50:00,4.9,8.7
2023-10-12 8:00:00,4.9,8.7
2023-10-12 8:10:00,4.9,8.9
2023-10-12 8:20:00,4.9,9.4
2023-10-12 8:30:00,5,9.6
2023-10-12 8:40:00,5,9.8
2023-10-12 8:50:00,5,9.4
2023-10-12 9:00:00,5,8.5
2023-10-12 9:10:00,5,8.2
2023-10-12 9:20:00,5,8
2023-10-12 9:30:00,5,9.5
2023-10-12 9:40:00,5,9.4
2023-10-12 9:50:00,5,8.5
2023-10-12 10:00:00,5,7.8
2023-10-12 10:10:00,5,7.9
2023-10-12 10:20:00,5,8.1
2023-10-12 10:30:00,4.9,7.8
2023-10-12 10:40:00,4.9,8.3
2023-10-12 10:50:00,4.9,8
2023-10-12 11:00:00,5,8.1
2023-10-12 11:10:00,4.9,8.4
2023-10-12 11:20:00,5,9.5
2023-10-12 11:30:00,5,8.3
2023-10-12 11:40:00,5,8.2
2023-10-12 11:50:00,5,8.5
2023-10-12 12:00:00,5,8.4
2023-10-12 12:10:00,5,9.7
2023-10-12 12:20:00,5,10.1
2023-10-12 12:30:00,5,9.9
2023-10-12 12:40:00,5,10
2023-10-12 12:50:00,5,10.3
2023-10-12 13:00:00,5.1,10.4
2023-10-12 13:10:00,5.1,10.4
2023-10-12 13:20:00,5.1,10.5
2023-10-12 13:30:00,5.1,10.3
2023-10-12 13:40:00,5.1,10.2
2023-10-12 13:50:00,5.1,10.3
2023-10-12 14:00:00,5.1,10.1
2023-10-12 14:10:00,5.1,10.2
2023-10-12 14:20:00,5.1,10.1
2023-10-12 14:30:00,5.1,10.1
2023-10-12 14:40:00,5.1,10.1
2023-10-12 14:50:00,5.1,9.9
2023-10-12 15:00:00,5.1,10
2023-10-12 15:10:00,5.1,10
2023-10-12 15:20:00,5.1,10.1
2023-10-12 15:30:00,5.1,10.3
2023-10-12 15:40:00,5.1,10.4
